,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
968,2018-09-10,149.380005,149.380005,147.889999,148.179993,148.179993,408400.0,408400.0,-1.20001,-0.803,148.48333,"September 10, 18",-0.00803
969,2018-09-07,149.440002,150.339996,148.190002,148.410004,148.410004,555300.0,555300.0,-1.03,-0.689,148.98,"September 07, 18",-0.00689
970,2018-09-06,147.809998,150.270004,147.809998,149.570007,149.570007,649600.0,649600.0,1.76001,1.191,149.21667,"September 06, 18",0.01191
971,2018-09-05,147.570007,148.220001,146.990005,147.740005,147.740005,640500.0,640500.0,0.17,0.115,147.65,"September 05, 18",0.00115
972,2018-09-04,147.130005,147.759995,145.910004,147.690002,147.690002,357100.0,357100.0,0.56,0.381,147.12,"September 04, 18",0.00381
973,2018-08-31,146.690002,147.449997,146.100006,147.270004,147.270004,483100.0,483100.0,0.58,0.395,146.94,"August 31, 18",0.00395
974,2018-08-30,148.300003,148.300003,146.070007,146.699997,146.699997,395800.0,395800.0,-1.60001,-1.079,147.02334,"August 30, 18",-0.01079
975,2018-08-29,148.139999,148.960007,147.25,148.399994,148.399994,322200.0,322200.0,0.26,0.176,148.20333,"August 29, 18",0.00176
976,2018-08-28,147.800003,148.75,147.119995,147.910004,147.910004,378700.0,378700.0,0.11,0.074,147.92667,"August 28, 18",0.00074
977,2018-08-27,147.770004,148.210007,146.940002,147.729996,147.729996,309800.0,309800.0,-0.04001,-0.027,147.62667,"August 27, 18",-0.00027
978,2018-08-24,147.199997,147.270004,145.839996,146.979996,146.979996,349400.0,349400.0,-0.22,-0.149,146.69667,"August 24, 18",-0.00149
979,2018-08-23,147.399994,147.449997,146.429993,146.559998,146.559998,294300.0,294300.0,-0.84,-0.57,146.81333,"August 23, 18",-0.0057
980,2018-08-22,148.5,148.880005,147.190002,147.699997,147.699997,428200.0,428200.0,-0.8,-0.539,147.92333,"August 22, 18",-0.00539
981,2018-08-21,148.029999,148.850006,147.139999,148.429993,148.429993,445400.0,445400.0,0.39999,0.27,148.14,"August 21, 18",0.0027
982,2018-08-20,149.410004,149.410004,147.830002,148.029999,148.029999,484900.0,484900.0,-1.38,-0.924,148.42333,"August 20, 18",-0.00924
983,2018-08-17,148.75,149.660004,148.149994,148.889999,148.889999,601500.0,601500.0,0.14,0.094,148.9,"August 17, 18",0.00094
984,2018-08-16,148.550003,150.100006,148.429993,149.149994,149.149994,425400.0,425400.0,0.59999,0.404,149.22666,"August 16, 18",0.00404
985,2018-08-15,146.389999,148.770004,145.5,148.199997,148.199997,495100.0,495100.0,1.81,1.236,147.49,"August 15, 18",0.01236
986,2018-08-14,148.199997,148.720001,145.820007,147.130005,147.130005,727300.0,727300.0,-1.06999,-0.722,147.22334,"August 14, 18",-0.00722
987,2018-08-13,150.119995,151.229996,147.630005,147.949997,147.949997,663300.0,663300.0,-2.17,-1.446,148.93667,"August 13, 18",-0.01446
988,2018-08-10,150.710007,151.070007,149.25,149.729996,149.729996,506800.0,506800.0,-0.98001,-0.65,150.01667,"August 10, 18",-0.0065
989,2018-08-09,151.309998,152.399994,151.179993,151.610001,151.610001,425900.0,425900.0,0.3,0.198,151.73,"August 09, 18",0.00198
990,2018-08-08,151.059998,152.179993,150.0,151.520004,151.520004,421900.0,421900.0,0.46001,0.305,151.23333,"August 08, 18",0.00305
991,2018-08-07,149.979996,151.589996,149.380005,151.160004,151.160004,699800.0,699800.0,1.18001,0.787,150.71,"August 07, 18",0.00787
992,2018-08-06,148.639999,149.800003,147.529999,149.399994,149.399994,629600.0,629600.0,0.76,0.511,148.91,"August 06, 18",0.00511
993,2018-08-03,151.0,151.0,144.089996,148.820007,148.820007,800700.0,800700.0,-2.17999,-1.444,147.97,"August 03, 18",-0.01444
994,2018-08-02,151.0,153.529999,144.880005,145.729996,145.729996,2051900.0,2051900.0,-5.27,-3.49,148.04667,"August 02, 18",-0.0349
995,2018-08-01,159.169998,162.240005,158.690002,159.149994,159.149994,591700.0,591700.0,-0.02,-0.013,160.02667,"August 01, 18",-0.00013
996,2018-07-31,160.449997,162.0,159.119995,159.419998,159.419998,591800.0,591800.0,-1.03,-0.642,160.18,"July 31, 18",-0.00642
997,2018-07-30,160.119995,161.119995,159.360001,159.559998,159.559998,394400.0,394400.0,-0.56,-0.35,160.01333,"July 30, 18",-0.0035
998,2018-07-27,162.759995,162.899994,160.240005,160.619995,160.619995,359300.0,359300.0,-2.14,-1.315,161.25333,"July 27, 18",-0.01315
999,2018-07-26,163.270004,163.279999,161.639999,162.220001,162.220001,529400.0,529400.0,-1.05,-0.643,162.38,"July 26, 18",-0.00643
1000,2018-07-25,161.119995,163.110001,161.020004,163.039993,163.039993,294800.0,294800.0,1.92,1.192,162.39,"July 25, 18",0.01192
1001,2018-07-24,160.699997,161.929993,160.190002,161.460007,161.460007,427900.0,427900.0,0.76001,0.473,161.19333,"July 24, 18",0.00473
1002,2018-07-23,159.419998,160.630005,159.199997,160.589996,160.589996,312600.0,312600.0,1.17,0.734,160.14,"July 23, 18",0.00734
1003,2018-07-20,158.75,160.0,157.320007,159.619995,159.619995,385800.0,385800.0,0.86999,0.548,158.98,"July 20, 18",0.00548
1004,2018-07-19,158.820007,159.110001,157.25,158.839996,158.839996,548800.0,548800.0,0.01999,0.013,158.4,"July 19, 18",0.00013
1005,2018-07-18,157.630005,158.919998,157.029999,158.779999,158.779999,791500.0,791500.0,1.14999,0.73,158.24333,"July 18, 18",0.0073
1006,2018-07-17,157.339996,158.100006,156.910004,157.270004,157.270004,636200.0,636200.0,-0.06999,-0.044,157.42667,"July 17, 18",-0.00044
1007,2018-07-16,157.860001,158.110001,157.0,157.559998,157.559998,460900.0,460900.0,-0.3,-0.19,157.55667,"July 16, 18",-0.0019
1008,2018-07-13,157.860001,158.440002,157.009995,158.039993,158.039993,415400.0,415400.0,0.17999,0.114,157.83,"July 13, 18",0.00114
1009,2018-07-12,157.119995,158.429993,156.649994,157.690002,157.690002,475100.0,475100.0,0.57001,0.363,157.59,"July 12, 18",0.00363
1010,2018-07-11,157.240005,158.110001,152.919998,156.910004,156.910004,333500.0,333500.0,-0.33,-0.21,155.98,"July 11, 18",-0.0021
1011,2018-07-10,159.0,159.089996,157.559998,157.919998,157.919998,350600.0,350600.0,-1.08,-0.679,158.19,"July 10, 18",-0.00679
1012,2018-07-09,156.679993,158.720001,155.160004,158.699997,158.699997,390500.0,390500.0,2.02,1.289,157.52667,"July 09, 18",0.01289
1013,2018-07-06,153.850006,156.539993,153.690002,155.929993,155.929993,496700.0,496700.0,2.07999,1.352,155.38666,"July 06, 18",0.01352
1014,2018-07-05,152.889999,153.929993,149.869995,153.860001,153.860001,353900.0,353900.0,0.97,0.634,152.55333,"July 05, 18",0.00634
1015,2018-07-03,152.220001,153.75,150.339996,152.300003,152.300003,181100.0,181100.0,0.08,0.053,152.13,"July 03, 18",0.00053
1016,2018-07-02,150.5,152.419998,150.5,152.130005,152.130005,347900.0,347900.0,1.63001,1.083,151.68333,"July 02, 18",0.01083
1017,2018-06-29,151.710007,153.190002,151.350006,151.600006,151.600006,493600.0,493600.0,-0.11,-0.073,152.04667,"June 29, 18",-0.00073
1018,2018-06-28,149.779999,151.850006,148.910004,151.339996,151.339996,395400.0,395400.0,1.56,1.042,150.7,"June 28, 18",0.01042
1019,2018-06-27,152.289993,153.600006,150.169998,150.330002,150.330002,585500.0,585500.0,-1.95999,-1.287,151.36667,"June 27, 18",-0.01287
1020,2018-06-26,153.330002,155.220001,152.039993,152.429993,152.429993,388400.0,388400.0,-0.90001,-0.587,153.23,"June 26, 18",-0.00587
1021,2018-06-25,153.809998,154.470001,152.470001,153.559998,153.559998,546100.0,546100.0,-0.25,-0.163,153.5,"June 25, 18",-0.00163
1022,2018-06-22,152.929993,154.570007,152.839996,154.160004,154.160004,702800.0,702800.0,1.23001,0.804,153.85667,"June 22, 18",0.00804
1023,2018-06-21,153.119995,153.520004,151.940002,152.399994,152.399994,429500.0,429500.0,-0.72,-0.47,152.62,"June 21, 18",-0.0047
1024,2018-06-20,154.070007,156.199997,153.279999,153.449997,153.449997,603500.0,603500.0,-0.62001,-0.402,154.31,"June 20, 18",-0.00402
